Tumor_Sample_Barcode	total	cohort
DO18988	0.00214133	KIRC
DO19048	0.00214133	KIRC
DO19380	0.00642398	KIRC
DO1954	0.00390434	BRCA
DO19733	0.0342612	KIRC
DO20082	0.00856531	KIRC
DO2055	0.0103953	BRCA
DO20604	0.0149893	KIRC
DO20770	0.0642202	KIRP
DO2078	0.0133236	BRCA
DO20849	0.0458716	KIRP
DO2084	0.00068326	BRCA
DO20905	0.00917431	KIRP
DO20928	0.169725	KIRP
DO2096	9.76086e-05	BRCA
DO2114	0.00195217	BRCA
DO217786	0.00214739	BRCA
DO217788	0.00258663	BRCA
DO217814	0.159926	GACA
DO217818	0.0275735	GACA
DO217822	0.0202206	GACA
DO217836	0.084507	ORCA
DO217844	0.00068326	BRCA
DO217850	0.0609137	BTCA
DO217864	0.0101523	BTCA
DO217865	0.000829673	BRCA
DO217867	0.0300245	GACA
DO217887	0.00727184	BRCA
DO217896	0.0422794	GACA
DO217907	0.0105905	BRCA
DO217908	9.76086e-05	BRCA
DO217931	0.00258663	BRCA
DO217934	0.000585652	BRCA
DO217950	0.140845	ORCA
DO217952	0.00175695	BRCA
DO217987	0.0263055	BRCA
DO218012	0.028169	ORCA
DO218019	0.00245098	GACA
DO218030	0.0520833	GACA
DO218034	0.028169	ORCA
DO218059	0.000780869	BRCA
DO218060	0.00126891	BRCA
DO218062	0.00234261	BRCA
DO218065	0.00253782	BRCA
DO218068	0.0625	GACA
DO218072	0.000195217	BRCA
DO218075	0.267606	ORCA
DO218088	0.0171569	GACA
DO218089	0.00367647	GACA
DO218136	0.0306373	GACA
DO218150	0.00263543	BRCA
DO218159	0.000878477	BRCA
DO218167	0.00561249	BRCA
DO218168	0.00253782	BRCA
DO218176	0.000488043	BRCA
DO218180	0.056338	ORCA
DO218205	0.000390434	BRCA
DO218212	0.00556369	BRCA
DO218223	0.0594363	GACA
DO218227	0.0507614	BTCA
DO218230	0.0147059	GACA
DO218243	0.000612745	GACA
DO218254	0.00902879	BRCA
DO218269	0.00893119	BRCA
DO218280	0.084507	ORCA
DO218282	0.0177696	GACA
DO218306	0.028169	ORCA
DO218333	0.00985847	BRCA
DO218351	0.0812183	BTCA
DO218377	0.000585652	BRCA
DO218384	0.000976086	BRCA
DO218388	0.000780869	BRCA
DO218404	0.00331869	BRCA
DO218408	9.76086e-05	BRCA
DO218411	0.152284	BTCA
DO218417	0.13198	BTCA
DO218419	0.00156174	BRCA
DO218428	0.00985847	BRCA
DO218440	0.0406091	BTCA
DO218442	0.0116422	GACA
DO218443	0.0968137	GACA
DO218457	0.00204978	BRCA
DO218484	0.0110294	GACA
DO218488	0.000146413	BRCA
DO218489	0.00200098	BRCA
DO218502	0.00244021	BRCA
DO218506	0.000292826	BRCA
DO218517	0.00122549	GACA
DO218535	0.365482	BTCA
DO218547	0.121324	GACA
DO218550	0.035533	BTCA
DO218553	0.00146413	BRCA
DO218554	0.225352	ORCA
DO218560	0.000732064	BRCA
DO218573	0.00380673	BRCA
DO218583	0.000390434	BRCA
DO218605	0.00556369	BRCA
DO218611	0.00390434	BRCA
DO218621	0.000585652	BRCA
DO218651	0.00409956	BRCA
DO218656	0.00419717	BRCA
DO218669	0.00283065	BRCA
DO218673	0.0257353	GACA
DO218684	0.00307467	BRCA
DO218695	0.071066	BTCA
DO218697	0.056338	ORCA
DO218698	0.00239141	BRCA
DO218709	0.00702782	BRCA
DO218719	0.00292826	BRCA
DO218728	0.0232843	GACA
DO218736	0.000634456	BRCA
DO218742	0.00917521	BRCA
DO218770	9.76086e-05	BRCA
DO218774	0.0245098	GACA
DO218796	0.0034651	BRCA
DO218828	0.00473402	BRCA
DO218831	0.000878477	BRCA
DO219106	0.0134146	COAD
DO219580	0.00835073	LIHC
DO219944	0.0248787	SARC
DO219945	0.00621968	SARC
DO219949	0.102003	SARC
DO219951	0.0567857	SARC
DO219952	0.0297301	SARC
DO219954	0.0411743	SARC
DO219960	0.0204627	SARC
DO219961	0.042978	SARC
DO219962	0.0334619	SARC
DO219964	0.0198408	SARC
DO219965	0.0949123	SARC
DO219966	0.0394328	SARC
DO219967	0.0510636	SARC
DO219968	0.0253141	SARC
DO219969	0.070158	SARC
DO219970	0.0811668	SARC
DO219972	0.022764	SARC
DO219973	0.0256873	SARC
DO219974	0.0213335	SARC
DO220116	0.141311	SARC
DO220118	0.000995149	SARC
DO220122	0.00478915	SARC
DO220126	0.00659286	SARC
DO220138	0.0059087	SARC
DO220140	0.00248787	SARC
DO220153	0.000808558	SARC
DO220157	0.000373181	SARC
DO220163	0.0018659	SARC
DO220168	0.00609529	SARC
DO220172	0.0105113	SARC
DO220174	0.00174151	SARC
DO220176	0.00603309	SARC
DO220221	0.00111954	SARC
DO220334	0.00402414	KICH
DO220339	0.0261569	KICH
DO220349	0.428571	KICH
DO220351	0.00402414	KICH
DO220360	0.414487	KICH
DO220363	0.00402414	KICH
DO220468	0.00804829	KICH
DO220478	0.0241449	KICH
DO220479	0.0160966	KICH
DO220484	0.0181087	KICH
DO220519	0.00402414	KICH
DO220525	0.028169	KICH
DO220554	0.0120724	KICH
DO220556	0.00804829	KICH
DO220820	0.000195217	BRCA
DO220821	9.76086e-05	BRCA
DO220822	0.00331869	BRCA
DO220823	0.00419717	BRCA
DO220825	0.000976086	BRCA
DO220828	0.00556369	BRCA
DO220841	0.0438961	MELA
DO220842	0.0537662	MELA
DO220843	0.0975325	MELA
DO220844	0.0223377	MELA
DO220845	0.0372727	MELA
DO220846	0.00623377	MELA
DO220847	0.0271429	MELA
DO220848	0.00207792	MELA
DO220849	0.0377922	MELA
DO220850	0.0161039	MELA
DO220851	0.00363636	MELA
DO220852	0.00116883	MELA
DO220853	0.000649351	MELA
DO220855	0.00363636	MELA
DO220857	0.00038961	MELA
DO220858	0.0514286	MELA
DO220859	0.00181818	MELA
DO220860	0.00207792	MELA
DO220861	0.00181818	MELA
DO220862	0.000519481	MELA
DO220863	0.0038961	MELA
DO220864	0.00935065	MELA
DO220865	0.0197403	MELA
DO220866	0.00285714	MELA
DO220867	0.0276623	MELA
DO220868	0.0167532	MELA
DO220869	0.0381818	MELA
DO220870	0.0342857	MELA
DO220871	0.0587013	MELA
DO220872	0.0012987	MELA
DO220873	0.000779221	MELA
DO220874	0.0025974	MELA
DO220875	0.000519481	MELA
DO220877	0.0244156	MELA
DO220878	0.0025974	MELA
DO220879	0.00324675	MELA
DO220880	0.00220779	MELA
DO220881	0.00493506	MELA
DO220882	0.0424675	MELA
DO220883	0.000519481	MELA
DO220884	0.0038961	MELA
DO220885	0.00194805	MELA
DO220886	0.034026	MELA
DO220887	0.00675325	MELA
DO220888	0.00649351	MELA
DO220889	0.00207792	MELA
DO220890	0.00272727	MELA
DO220891	0.0161039	MELA
DO220892	0.00493506	MELA
DO220893	0.000519481	MELA
DO220894	0.00155844	MELA
DO220895	0.0012987	MELA
DO220896	0.00116883	MELA
DO220897	0.00142857	MELA
DO220898	0.00181818	MELA
DO220899	0.00467532	MELA
DO220900	0.00337662	MELA
DO220901	0.00207792	MELA
DO220902	0.0106494	MELA
DO220903	0.0258442	MELA
DO220904	0.131688	MELA
DO220905	0.00025974	MELA
DO220906	0.00805195	MELA
DO220907	0.000519481	MELA
DO220908	0.00103896	MELA
DO220910	0.00519481	MELA
DO220911	0.0012987	MELA
DO220912	0.000519481	MELA
DO220913	0.00974026	MELA
DO221124	0.00868486	MALY
DO221127	0.000620347	MALY
DO221129	0.00620347	MALY
DO22145	0.0666667	LGG
DO221503	0.000307078	PRAD
DO221504	0.000614156	PRAD
DO221539	0.00370054	PACA
DO221540	0.00455451	PACA
DO221541	0.0106746	PACA
DO221542	0.00341588	PACA
DO221543	0.0162254	PACA
DO221544	0.0244805	PACA
DO221545	0.0145175	PACA
DO221546	0.00512383	PACA
DO221547	0.0059778	PACA
DO22195	0.0666667	LGG
DO222276	0.0226716	GACA
DO222285	0.0281863	GACA
DO222288	0.00735294	GACA
DO222292	0.0563725	GACA
DO222299	0.00245098	GACA
DO2222	0.00409956	BRCA
DO222303	0.021164	DLBC
DO222304	0.0529101	DLBC
DO222305	0.026455	DLBC
DO222306	0.767196	DLBC
DO222307	0.042328	DLBC
DO222308	0.0793651	DLBC
DO222309	0.010582	DLBC
DO22285	0.111111	LGG
DO22293	0.0222222	LGG
DO22295	0.288889	LGG
DO22324	0.0222222	LGG
DO22356	0.0666667	LGG
DO22382	0.0888889	LGG
DO224498	0.026348	GACA
DO22490	0.0666667	LGG
DO22496	0.0444444	LGG
DO2252	0.011469	BRCA
DO22548	0.0222222	LGG
DO22720	0.111111	LGG
DO22736	0.0222222	LGG
DO22836	0.0139179	LIHC
DO22838	0.00313152	LIHC
DO22839	0.00139179	LIHC
DO22854	0.00139179	LIHC
DO22860	0.0267919	LIHC
DO22866	0.00347947	LIHC
DO22875	0.0139179	LIHC
DO22884	0.00208768	LIHC
DO22887	0.00730689	LIHC
DO22890	0.00347947	LIHC
DO22896	0.131176	LIHC
DO22914	0.0222686	LIHC
DO22929	0.0716771	LIHC
DO22935	0.00208768	LIHC
DO22953	0.00208768	LIHC
DO22956	0.00139179	LIHC
DO22959	0.0445372	LIHC
DO22970	0.00765484	LIHC
DO22978	0.000695894	LIHC
DO22986	0.00208768	LIHC
DO22994	0.0243563	LIHC
DO22998	0.00104384	LIHC
DO23018	0.0389701	LIHC
DO23023	0.0135699	LIHC
DO23028	0.00730689	LIHC
DO23048	0.0059151	LIHC
DO23073	0.00347947	LIHC
DO2323	0.00156174	BRCA
DO2341	0.0136652	BRCA
DO23508	0.000371955	LIRI
DO23509	0.000743909	LIRI
DO23510	0.00241771	LIRI
DO23513	0.00185977	LIRI
DO23514	0.000371955	LIRI
DO23515	0.00371955	LIRI
DO23516	0.00595127	LIRI
DO23517	0.00595127	LIRI
DO23518	0.000371955	LIRI
DO23519	0.00632323	LIRI
DO23520	0.00148782	LIRI
DO23521	0.00111586	LIRI
DO23522	0.00557932	LIRI
DO23524	0.00148782	LIRI
DO23525	0.0111586	LIRI
DO23526	0.00111586	LIRI
DO23527	0.0107867	LIRI
DO23528	0.00223173	LIRI
DO23530	0.00148782	LIRI
DO23532	0.00483541	LIRI
DO23533	0.000743909	LIRI
DO23534	0.00297564	LIRI
DO23535	0.00595127	LIRI
DO23536	0.000743909	LIRI
DO23537	0.0215734	LIRI
DO23538	0.000743909	LIRI
DO23539	0.00130184	LIRI
DO23540	0.0234331	LIRI
DO23541	0.00148782	LIRI
DO23542	0.00371955	LIRI
DO23544	0.0016738	LIRI
DO23546	0.00148782	LIRI
DO23547	0.00111586	LIRI
DO23548	0.00148782	LIRI
DO23549	0.00260368	LIRI
DO23550	0.000743909	LIRI
DO23551	0.00260368	LIRI
DO23552	0.00669518	LIRI
DO23584	0.0826245	LUAD
DO23608	0.0595383	LUAD
DO23610	0.00972053	LUAD
DO23687	0.00121507	LUAD
DO23702	0.0230863	LUAD
DO23735	0.0249089	LUAD
DO23744	0.00121507	LUAD
DO23786	0.00850547	LUAD
DO23838	0.0121507	LUAD
DO23942	0.00607533	LUAD
DO24130	0.0109356	LUAD
DO24307	0.0236938	LUAD
DO24467	0.0352369	LUAD
DO24497	0.0243013	LUAD
DO2455	0.00946803	BRCA
DO24646	0.0036452	LUAD
DO24675	0.0492102	LUAD
DO24860	0.0170109	LUAD
DO25010	0.00972053	LUAD
DO25068	0.0109356	LUAD
DO2509	0.00146413	BRCA
DO25104	0.0382746	LUAD
DO25189	0.0072904	LUAD
DO25320	0.0224787	LUAD
DO2539	0.00780869	BRCA
DO25444	0.0145808	LUAD
DO2551	0.0138604	BRCA
DO25622	0.0157959	LUAD
DO25797	0.0686513	LUAD
DO25847	0.118469	LUAD
DO25887	0.00850547	LUAD
DO25927	0.0018226	LUAD
DO2593	0.00307467	BRCA
DO25985	0.00243013	LUAD
DO26062	0.173147	LUAD
DO26230	0.00425273	LUAD
DO26280	0.0388821	LUAD
DO2629	0.00185456	BRCA
DO26354	0.0716889	LUAD
DO26427	0.0125642	LUSC
DO26434	0.0671045	LUSC
DO26445	0.0268418	LUSC
DO26459	0.00628212	LUSC
DO26461	0.0131354	LUSC
DO26463	0.0159909	LUSC
DO26469	0.0262707	LUSC
DO26475	0.0205597	LUSC
DO26476	0.0242718	LUSC
DO2647	0.00629575	BRCA
DO26492	0.00685323	LUSC
DO26508	0.00571102	LUSC
DO26512	0.0237007	LUSC
DO26540	0.00799543	LUSC
DO26553	0.00742433	LUSC
DO26563	0.00371216	LUSC
DO26572	0.00770988	LUSC
DO26596	0.0182753	LUSC
DO26599	0.0151342	LUSC
DO26692	0.0102798	LUSC
DO26710	0.0134209	LUSC
DO26719	0.0211308	LUSC
DO26769	0.0228441	LUSC
DO26798	0.011422	LUSC
DO26806	0.0945174	LUSC
DO26894	0.0145631	LUSC
DO26934	0.011422	LUSC
DO2694	0.00610054	BRCA
DO26957	0.0185608	LUSC
DO26971	0.0259852	LUSC
DO26976	0.0199886	LUSC
DO26987	0.0217019	LUSC
DO26993	0.0553969	LUSC
DO27025	0.0479726	LUSC
DO27067	0.0108509	LUSC
DO2706	0.0130307	BRCA
DO27081	0.00770988	LUSC
DO27104	0.0102798	LUSC
DO27120	0.0265563	LUSC
DO27128	0.0348372	LUSC
DO2712	0.0111274	BRCA
DO2719	0.00317228	BRCA
DO27208	0.0131354	LUSC
DO27279	0.00628212	LUSC
DO27318	0.00685323	LUSC
DO27326	0.0331239	LUSC
DO27334	0.0645346	LUSC
DO27453	0.00742433	LUSC
DO27484	0.0122787	LUSC
DO27588	0.0142776	LUSC
DO27636	0.00799543	LUSC
DO27747	0.0451171	LUSC
DO27763	0.00372208	MALY
DO27764	0.00124069	MALY
DO27765	0.00744417	MALY
DO27767	0.00124069	MALY
DO27769	0.00124069	MALY
DO27771	0.00372208	MALY
DO27773	0.00248139	MALY
DO27775	0.00248139	MALY
DO27777	0.0279156	MALY
DO27779	0.0167494	MALY
DO27781	0.00248139	MALY
DO27783	0.00620347	MALY
DO27785	0.00248139	MALY
DO27787	0.00496278	MALY
DO27789	0.00620347	MALY
DO27791	0.00124069	MALY
DO27793	0.00248139	MALY
DO27795	0.00124069	MALY
DO27797	0.028536	MALY
DO27799	0.00124069	MALY
DO27801	0.00248139	MALY
DO27803	0.00868486	MALY
DO27805	0.00248139	MALY
DO27807	0.00248139	MALY
DO27809	0.00992556	MALY
DO27811	0.0198511	MALY
DO27813	0.00744417	MALY
DO27815	0.00248139	MALY
DO27817	0.00868486	MALY
DO27819	0.0124069	MALY
DO27821	0.00248139	MALY
DO27823	0.00124069	MALY
DO27825	0.00496278	MALY
DO27827	0.0167494	MALY
DO27829	0.00124069	MALY
DO27833	0.00248139	MALY
DO27835	0.00372208	MALY
DO27837	0.00248139	MALY
DO2783	0.0163006	BRCA
DO27843	0.00248139	MALY
DO27845	0.00124069	MALY
DO27847	0.00372208	MALY
DO27849	0.00372208	MALY
DO27851	0.000620347	MALY
DO27853	0.00372208	MALY
DO27855	0.0148883	MALY
DO27857	0.00744417	MALY
DO27859	0.00248139	MALY
DO27978	0.0018063	OV
DO28004	0.00395665	OV
DO28024	0.00206434	OV
DO28053	0.0177189	OV
DO28089	0.00903148	OV
DO28093	0.0106657	OV
DO28119	0.00559092	OV
DO28233	0.0129881	OV
DO28273	0.00438672	OV
DO28289	0.00309651	OV
DO28412	0.000688113	OV
DO2842	0.000878477	BRCA
DO28521	0.00885945	OV
DO28763	0.00481679	OV
DO28823	0.00215035	OV
DO28873	0.00404266	OV
DO28952	0.00894547	OV
DO28962	0.0110098	OV
DO2897	0.00165935	BRCA
DO29146	0.00352658	OV
DO29308	0.0012042	OV
DO29398	0.0175469	OV
DO29760	0.0135902	OV
DO29850	0.0100637	OV
DO29940	0.00584896	OV
DO2995	0.00824793	BRCA
DO29980	0.00361259	OV
DO30060	0.0104077	OV
DO30090	0.0136762	OV
DO30220	0.0179769	OV
DO30340	0.00662309	OV
DO3037	0.00361152	BRCA
DO30550	0.00258042	OV
DO30750	0.0291588	OV
DO30970	0.00662309	OV
DO3110	0.00546608	BRCA
DO31150	0.0134182	OV
DO3140	0.00244021	BRCA
DO31420	0.000430071	OV
DO31551	0.00430071	OV
DO3158	0.000390434	BRCA
DO31729	0.00395665	OV
DO31769	0.00782728	OV
DO3182	0.00775988	BRCA
DO31869	0.0109238	OV
DO3188	0.00253782	BRCA
DO32237	0.00395665	OV
DO32391	0.0319112	OV
DO32420	0.00748323	OV
DO32596	0.0300189	OV
DO32646	0.00292448	OV
DO32831	0.01039	PACA
DO32833	0.000569314	PACA
DO32860	0.00483917	PACA
DO32863	0.00128096	PACA
DO32875	0.00512383	PACA
DO32878	0.00142328	PACA
DO32893	0.0019926	PACA
DO32900	0.0113863	PACA
DO32916	0.0122403	PACA
DO32960	0.000569314	PACA
DO32976	0.00142328	PACA
DO32980	0.00683177	PACA
DO32984	0.000853971	PACA
DO33000	0.00213493	PACA
DO33008	0.00526615	PACA
DO33016	0.00426985	PACA
DO33028	0.000569314	PACA
DO33032	0.00683177	PACA
DO33042	0.00170794	PACA
DO33077	0.000569314	PACA
DO33128	0.0128096	PACA
DO33152	0.00185027	PACA
DO33160	0.000569314	PACA
DO33168	0.0019926	PACA
DO33184	0.000853971	PACA
DO33200	0.00113863	PACA
DO33208	0.00512383	PACA
DO33248	0.00170794	PACA
DO33264	0.000284657	PACA
DO33288	0.00370054	PACA
DO33344	0.0019926	PACA
DO33368	0.00313123	PACA
DO33376	0.00270424	PACA
DO33392	0.0019926	PACA
DO33400	0.00426985	PACA
DO33408	0.00185027	PACA
DO33472	0.00455451	PACA
DO33480	0.0111016	PACA
DO33488	0.00583547	PACA
DO33512	0.0059778	PACA
DO3352	0.000976086	BRCA
DO33544	0.00270424	PACA
DO33552	0.00569314	PACA
DO33600	0.00227726	PACA
DO33960	0.000569314	PACA
DO33984	0.0101053	PACA
DO3412	0.000878477	BRCA
DO34264	0.00313123	PACA
DO34288	0.0029889	PACA
DO34312	0.00412753	PACA
DO34336	0.00925135	PACA
DO34432	0.00640478	PACA
DO34448	0.000853971	PACA
DO34504	0.00170794	PACA
DO3458	0.0119082	BRCA
DO34600	0.000853971	PACA
DO34608	0.00626245	PACA
DO34616	0.00227726	PACA
DO34640	0.00185027	PACA
DO34656	0.000284657	PACA
DO34680	0.0069741	PACA
DO34696	0.00626245	PACA
DO34720	0.000284657	PACA
DO34728	0.0019926	PACA
DO34736	0.00540848	PACA
DO34785	0.000853971	PACA
DO34793	0.00270424	PACA
DO34809	0.020353	PACA
DO34817	0.00227726	PACA
DO3482	0.00170815	BRCA
DO34849	0.00370054	PACA
DO34905	0.0059778	PACA
DO34961	0.000569314	PACA
DO3500	0.00283065	BRCA
DO35082	0.00967834	PACA
DO35085	0.0166524	PACA
DO35098	0.000853971	PACA
DO35114	0.000284657	PACA
DO35116	0.00227726	PACA
DO35126	0.00469684	PACA
DO35128	0.00426985	PACA
DO35132	0.000569314	PACA
DO35136	0.000853971	PACA
DO35138	0.00256191	PACA
DO35144	0.00782807	PACA
DO35148	0.00455451	PACA
DO35152	0.0039852	PACA
DO35184	0.00426985	PACA
DO35186	0.00185027	PACA
DO35198	0.00170794	PACA
DO35200	0.000569314	PACA
DO35216	0.00170794	PACA
DO35222	0.010817	PACA
DO35228	0.00370054	PACA
DO35230	0.00156561	PACA
DO35236	0.00227726	PACA
DO35258	0.000853971	PACA
DO35290	0.00142328	PACA
DO35305	0.00227726	PACA
DO35350	0.00512383	PACA
DO35360	0.00270424	PACA
DO35376	0.00156561	PACA
DO35406	0.00227726	PACA
DO35424	0.0029889	PACA
DO35454	0.00142328	PACA
DO35496	0.00284657	PACA
DO35538	0.00568182	PBCA
DO35541	0.00568182	PBCA
DO35542	0.0625	PBCA
DO35547	0.00284091	PBCA
DO35551	0.0170455	PBCA
DO35553	0.00284091	PBCA
DO35554	0.0255682	PBCA
DO35558	0.0213068	PBCA
DO35564	0.00994318	PBCA
DO35569	0.00284091	PBCA
DO35571	0.0767045	PBCA
DO35573	0.00284091	PBCA
DO35581	0.00284091	PBCA
DO35586	0.00284091	PBCA
DO35613	0.0127841	PBCA
DO35617	0.0227273	PBCA
DO35618	0.00284091	PBCA
DO35621	0.00284091	PBCA
DO35623	0.00284091	PBCA
DO35625	0.00852273	PBCA
DO35627	0.00852273	PBCA
DO35628	0.00284091	PBCA
DO35654	0.0170455	PBCA
DO35668	0.0142045	PBCA
DO35676	0.00852273	PBCA
DO35678	0.00284091	PBCA
DO35704	0.00284091	PBCA
DO35721	0.0142045	PBCA
DO35723	0.0454545	PBCA
DO35725	0.0113636	PBCA
DO35729	0.00568182	PBCA
DO35733	0.0113636	PBCA
DO35739	0.0227273	PBCA
DO35741	0.00568182	PBCA
DO35753	0.00568182	PBCA
DO35755	0.0113636	PBCA
DO35763	0.00284091	PBCA
DO35841	0.0198864	PBCA
DO35845	0.0170455	PBCA
DO35857	0.00284091	PBCA
DO35886	0.00142045	PBCA
DO35922	0.00284091	PBCA
DO35952	0.00284091	PBCA
DO36003	0.00568182	PBCA
DO36021	0.00426136	PBCA
DO36042	0.00284091	PBCA
DO36074	0.00284091	PBCA
DO36077	0.00284091	PBCA
DO36087	0.0113636	PBCA
DO36111	0.00284091	PBCA
DO36123	0.00568182	PBCA
DO3614	0.00658858	BRCA
DO36151	0.00568182	PBCA
DO36163	0.00284091	PBCA
DO36248	0.00399202	PRAD
DO36253	0.00245663	PRAD
DO36254	0.00890527	PRAD
DO36262	0.00307078	PRAD
DO36265	0.000307078	PRAD
DO36273	0.00122831	PRAD
DO36283	0.0207278	PRAD
DO36285	0.00368494	PRAD
DO36345	0.0027637	PRAD
DO36356	0.00122831	PRAD
DO36360	0.00552741	PRAD
DO36386	0.0890411	READ
DO36431	0.0890411	READ
DO36459	0.0684932	READ
DO36556	0.0958904	READ
DO36572	0.00684932	READ
DO36619	0.0239726	READ
DO3662	0.00268424	BRCA
DO36710	0.0410959	READ
DO36801	0.133562	READ
DO36822	0.0547945	READ
DO36881	0.0136986	READ
DO36945	0.0993151	READ
DO37074	0.15411	READ
DO37138	0.0273973	READ
DO37259	0.0684932	READ
DO37267	0.0342466	READ
DO37409	0.0165766	SKCM
DO37418	0.00432432	SKCM
DO37424	0.0248649	SKCM
DO37425	0.00576577	SKCM
DO37426	0.00720721	SKCM
DO37427	0.0443243	SKCM
DO37432	0.0216216	SKCM
DO37435	0.00972973	SKCM
DO37439	0.00468468	SKCM
DO37440	0.00648649	SKCM
DO37445	0.0511712	SKCM
DO37474	0.181622	SKCM
DO37515	0.0291892	SKCM
DO37527	0.0479279	SKCM
DO37531	0.00576577	SKCM
DO37587	0.0327928	SKCM
DO37599	0.00144144	SKCM
DO37607	0.0720721	SKCM
